evaluator,n_particles,max_iter,w,c1,c2,seed,best_value,total_time,eval_time,update_time,overhead,auc,convergence_iter
sequential,100,500,0.719,1.49445,2.0,789,1.6797921789957242e-14,0.373885,0.315119,0.03472,0.024046,25.183882,33
sequential,100,500,0.719,2.0,1.0,42,4.2393472727225684e-17,0.532639,0.47257,0.039549,0.02052,31.798441,6
sequential,100,500,0.719,2.0,1.0,99,1.4607378714364923e-14,0.536251,0.465563,0.03236,0.038327,110.09448,93
sequential,100,500,0.719,2.0,1.0,123,1.1774814401577129e-16,0.580722,0.482783,0.054687,0.043252,35.802574,101
sequential,100,500,0.719,2.0,1.0,456,4.86417708513023e-16,0.477536,0.409485,0.04601,0.022041,33.153613,79
sequential,100,500,0.719,2.0,1.0,789,3.220960305122443e-14,0.585617,0.534736,0.034408,0.016472,18.253946,3
sequential,100,500,0.719,2.0,1.49445,42,1.6011952631121241e-12,0.834407,0.714137,0.063895,0.056375,18.248151,29
sequential,100,500,0.719,2.0,1.49445,99,1.3956996268663203e-13,0.642665,0.563358,0.039553,0.039754,107.457366,97
sequential,100,500,0.719,2.0,1.49445,123,7.479562013910631e-16,1.117297,0.871948,0.166921,0.078428,34.71907,11
sequential,100,500,0.719,2.0,1.49445,456,1.6880391403182772e-15,0.372776,0.275176,0.077156,0.020444,11.72289,7
sequential,100,500,0.719,2.0,1.49445,789,1.499533828408725e-15,0.179159,0.156214,0.012523,0.010422,22.016208,35
sequential,100,500,0.719,2.0,2.0,42,2.5164023455758745e-14,0.828551,0.705414,0.083206,0.03993,42.403985,11
sequential,100,500,0.719,2.0,2.0,99,1.7025014862605176e-13,1.205444,1.008187,0.072432,0.124825,132.192351,89
sequential,100,500,0.719,2.0,2.0,123,2.3462480775226473e-12,0.866664,0.77108,0.060927,0.034657,112.722431,46
sequential,100,500,0.719,2.0,2.0,456,1.1523934115386746e-14,0.440788,0.408387,0.018254,0.014147,47.665807,11
sequential,100,500,0.719,2.0,2.0,789,3.8701241321918595e-13,0.670454,0.617124,0.033735,0.019595,23.313769,8
sequential,100,500,0.9,1.0,1.0,42,6.1819715241134184e-06,0.553421,0.467632,0.069106,0.016684,74.67543,16
sequential,100,500,0.9,1.0,1.0,99,7.830248547991894e-08,0.637055,0.540119,0.05218,0.044756,147.827818,9
sequential,100,500,0.9,1.0,1.0,123,5.648491610050975e-13,0.788883,0.714018,0.041946,0.032919,58.253893,45
sequential,100,500,0.9,1.0,1.0,456,1.2334545431440404e-11,0.565805,0.488026,0.047469,0.03031,71.196681,23
sequential,100,500,0.9,1.0,1.0,789,5.324722022499509e-10,0.395094,0.351634,0.026208,0.017252,24.040191,9
sequential,100,500,0.9,1.0,1.49445,42,2.2298575190856034e-05,0.366738,0.328528,0.0235,0.01471,18.749612,3
sequential,100,500,0.9,1.0,1.49445,99,1.699072906615702e-05,0.371376,0.332469,0.022051,0.016857,130.521498,4
sequential,100,500,0.9,1.0,1.49445,123,1.995841870142033e-08,0.57019,0.501709,0.042293,0.026188,46.235696,28
sequential,100,500,0.9,1.0,1.49445,456,0.00019760231048060911,0.250742,0.222987,0.015892,0.011863,26.837774,9
sequential,100,500,0.9,1.0,1.49445,789,6.810034544265593e-10,0.759045,0.677193,0.047293,0.034559,17.179131,11
sequential,100,500,0.9,1.0,2.0,42,0.11765181551178189,0.116112,0.100779,0.010333,0.005,55.401373,15
sequential,100,500,0.9,1.0,2.0,99,0.026028604707847146,0.13498,0.11837,0.010611,0.005999,226.695148,29
sequential,100,500,0.9,1.0,2.0,123,0.000503304109568921,0.43629,0.383968,0.034753,0.01757,110.373648,11
sequential,100,500,0.9,1.0,2.0,456,0.13168916615133966,0.153637,0.139924,0.007178,0.006535,17.068642,14
sequential,100,500,0.9,1.0,2.0,789,0.022525303115632306,0.245733,0.217758,0.01062,0.017355,28.575017,6
sequential,100,500,0.9,1.49445,1.0,42,0.0006388984744604654,0.274228,0.249058,0.015397,0.009773,70.102826,24
sequential,100,500,0.9,1.49445,1.0,99,1.2692101842717776e-05,0.569209,0.456585,0.057865,0.054759,143.706949,14
sequential,100,500,0.9,1.49445,1.0,123,1.3759513930872448e-05,0.326603,0.304935,0.012123,0.009545,54.306351,42
sequential,100,500,0.9,1.49445,1.0,456,5.7906877795385925e-09,0.498275,0.443974,0.031739,0.022562,26.948988,11
sequential,100,500,0.9,1.49445,1.0,789,2.3372127111685943e-05,0.590845,0.488422,0.03033,0.072093,18.87146,4
sequential,100,500,0.9,1.49445,1.49445,42,0.0041369929373095,0.311575,0.282344,0.016879,0.012352,14.059357,8
sequential,100,500,0.9,1.49445,1.49445,99,0.010902653492971218,0.224709,0.201225,0.016731,0.006753,126.633791,5
sequential,100,500,0.9,1.49445,1.49445,123,0.000394585192988007,0.249273,0.223655,0.01504,0.010578,40.453581,11
sequential,100,500,0.9,1.49445,1.49445,456,0.0033087828825490322,0.230282,0.207183,0.013301,0.009798,42.291082,23
sequential,100,500,0.9,1.49445,1.49445,789,5.691362924776856e-05,0.158919,0.142586,0.009362,0.006971,17.913906,2
sequential,100,500,0.9,1.49445,2.0,42,0.015564755239685327,0.165949,0.148773,0.009626,0.007551,79.043056,20
sequential,100,500,0.9,1.49445,2.0,99,0.28181017598954505,0.152721,0.13944,0.00765,0.005631,180.337324,12
sequential,100,500,0.9,1.49445,2.0,123,0.01559179710990686,0.367463,0.32072,0.024186,0.022557,182.59412,24
sequential,100,500,0.9,1.49445,2.0,456,0.029139587027235944,0.482071,0.426265,0.034921,0.020885,40.982899,2
sequential,100,500,0.9,1.49445,2.0,789,0.012712172201853496,0.309107,0.261355,0.010627,0.037125,20.86561,8
sequential,100,500,0.9,2.0,1.0,42,0.009216585932104216,0.339116,0.296361,0.028379,0.014376,45.444097,25
sequential,100,500,0.9,2.0,1.0,99,0.0029224356490555633,0.58009,0.484993,0.065927,0.02917,148.803895,15
sequential,100,500,0.9,2.0,1.0,123,0.0045122522379732275,0.701089,0.566709,0.109432,0.024948,67.906669,8
sequential,100,500,0.9,2.0,1.0,456,0.018958514886443237,0.292559,0.254422,0.024213,0.013925,59.135887,36
sequential,100,500,0.9,2.0,1.0,789,0.07230261969177754,0.09273,0.082543,0.005521,0.004666,31.821461,19
sequential,100,500,0.9,2.0,1.49445,42,0.0021191236544774086,0.236954,0.210372,0.015435,0.011147,22.968674,6
sequential,100,500,0.9,2.0,1.49445,99,0.0036277485128222643,0.159892,0.14161,0.010821,0.007461,207.579119,12
sequential,100,500,0.9,2.0,1.49445,123,0.0014936162697641703,0.180798,0.15881,0.01296,0.009029,53.472838,2
sequential,100,500,0.9,2.0,1.49445,456,0.05505430628181795,0.127216,0.111796,0.008762,0.006659,87.83759,4
sequential,100,500,0.9,2.0,1.49445,789,0.0006608995762494245,0.547456,0.414483,0.029014,0.103959,20.566414,2
sequential,100,500,0.9,2.0,2.0,42,0.05833982358785264,0.210713,0.189885,0.012161,0.008667,60.999915,6
sequential,100,500,0.9,2.0,2.0,99,0.05013286652043251,0.162329,0.140819,0.012266,0.009245,219.525896,27
sequential,100,500,0.9,2.0,2.0,123,0.029561760315785994,0.272804,0.252789,0.012032,0.007983,108.975634,8
sequential,100,500,0.9,2.0,2.0,456,0.013324651114684595,0.297423,0.252006,0.024558,0.020859,18.602333,2
sequential,100,500,0.9,2.0,2.0,789,0.06422131563913372,0.383122,0.323655,0.01565,0.043817,25.444462,6
