evaluator,n_particles,max_iter,w,c1,c2,seed,best_value,total_time,eval_time,update_time,overhead,auc,convergence_iter
sequential,100,500,0.719,1.49445,1.0,42,2.7580806867085935e-16,0.025629,0.022541,0.001792,0.001296,48.991877,84
sequential,100,500,0.719,1.49445,1.0,99,2.472762349870386e-20,0.035872,0.030743,0.002915,0.002213,112.90464,17
sequential,100,500,0.719,1.49445,1.0,123,2.1110305726440644e-17,0.032892,0.028397,0.002549,0.001946,43.561067,7
sequential,100,500,0.719,1.49445,1.0,456,1.1245151344848402e-15,0.035597,0.030487,0.002573,0.002537,27.046961,76
sequential,100,500,0.719,1.49445,1.0,789,4.842146844894242e-16,0.028943,0.024546,0.002462,0.001935,17.729014,59
sequential,100,500,0.719,1.49445,1.49445,42,1.4429146799541336e-15,0.035587,0.030651,0.002782,0.002154,21.598102,25
sequential,100,500,0.719,1.49445,1.49445,99,1.3394380572547422e-15,0.051897,0.044713,0.003899,0.003285,95.955602,22
sequential,100,500,0.719,1.49445,1.49445,123,3.2848357741508787e-15,0.036763,0.031236,0.003289,0.002238,39.1427,19
sequential,100,500,0.719,1.49445,1.49445,456,8.481429652847938e-17,0.04919,0.041507,0.004732,0.002951,14.652127,38
sequential,100,500,0.719,1.49445,1.49445,789,1.7163550077108535e-15,0.037779,0.032153,0.003163,0.002463,21.667203,98
sequential,100,500,0.719,1.49445,2.0,42,2.3320696885659345e-16,0.044819,0.038077,0.0035,0.003242,73.90016,87
sequential,100,500,0.719,1.49445,2.0,99,2.5194011367964045e-14,0.052222,0.044608,0.004286,0.003327,114.195571,21
sequential,100,500,0.719,1.49445,2.0,123,3.6538666040656465e-15,0.056479,0.047293,0.005178,0.004008,44.89994,6
sequential,100,500,0.719,1.49445,2.0,456,1.30803909307617e-13,0.05169,0.044292,0.004183,0.003215,48.279773,57
sequential,100,500,0.719,1.49445,2.0,789,1.6797921789957242e-14,0.047641,0.040359,0.004351,0.002931,25.183882,33
sequential,100,500,0.719,2.0,1.0,42,4.2393472727225684e-17,0.030684,0.026302,0.002485,0.001897,31.798441,6
sequential,100,500,0.719,2.0,1.0,99,1.4607378714364923e-14,0.039148,0.033466,0.003042,0.00264,110.09448,93
sequential,100,500,0.719,2.0,1.0,123,1.1774814401577129e-16,0.035388,0.030631,0.002582,0.002175,35.802574,101
sequential,100,500,0.719,2.0,1.0,456,4.86417708513023e-16,0.04447,0.037853,0.003867,0.00275,33.153613,79
sequential,100,500,0.719,2.0,1.0,789,3.220960305122443e-14,0.034106,0.029321,0.002699,0.002087,18.253946,3
sequential,100,500,0.719,2.0,1.49445,42,1.6011952631121241e-12,0.047534,0.041097,0.003546,0.002891,18.248151,29
sequential,100,500,0.719,2.0,1.49445,99,1.3956996268663203e-13,0.036711,0.031852,0.002897,0.001961,107.457366,97
sequential,100,500,0.719,2.0,1.49445,123,7.479562013910631e-16,0.046431,0.039879,0.003558,0.002994,34.71907,11
sequential,100,500,0.719,2.0,1.49445,456,1.6880391403182772e-15,0.068753,0.057807,0.006211,0.004735,11.72289,7
sequential,100,500,0.719,2.0,1.49445,789,1.499533828408725e-15,0.035456,0.030998,0.002663,0.001795,22.016208,35
sequential,100,500,0.719,2.0,2.0,42,2.5164023455758745e-14,0.148296,0.128476,0.011807,0.008012,42.403985,11
sequential,100,500,0.719,2.0,2.0,99,1.7025014862605176e-13,0.34449,0.298514,0.026214,0.019763,132.192351,89
sequential,100,500,0.719,2.0,2.0,123,2.3462480775226473e-12,0.400439,0.347469,0.032833,0.020137,112.722431,46
sequential,100,500,0.719,2.0,2.0,456,1.1523934115386746e-14,0.386275,0.334594,0.028379,0.023302,47.665807,11
sequential,100,500,0.719,2.0,2.0,789,3.8701241321918595e-13,0.37275,0.32491,0.027218,0.020623,23.313769,8
sequential,100,500,0.9,1.0,1.0,42,6.1819715241134184e-06,0.2758,0.232494,0.028251,0.015056,74.67543,16
sequential,100,500,0.9,1.0,1.0,99,7.830248547991894e-08,0.466925,0.411643,0.028444,0.026838,147.827818,9
sequential,100,500,0.9,1.0,1.0,123,5.648491610050975e-13,0.78768,0.675574,0.066353,0.045753,58.253893,45
sequential,100,500,0.9,1.0,1.0,456,1.2334545431440404e-11,0.684796,0.577814,0.05806,0.048921,71.196681,23
sequential,100,500,0.9,1.0,1.0,789,5.324722022499509e-10,0.535179,0.469503,0.037796,0.02788,24.040191,9
sequential,100,500,0.9,1.0,1.49445,42,2.2298575190856034e-05,0.470697,0.409352,0.036902,0.024443,18.749612,3
sequential,100,500,0.9,1.0,1.49445,99,1.699072906615702e-05,0.605272,0.53136,0.041333,0.032579,130.521498,4
sequential,100,500,0.9,1.0,1.49445,123,1.995841870142033e-08,0.789045,0.697264,0.054494,0.037286,46.235696,28
sequential,100,500,0.9,1.0,1.49445,456,0.00019760231048060911,0.374921,0.326793,0.023093,0.025035,26.837774,9
sequential,100,500,0.9,1.0,1.49445,789,6.810034544265593e-10,0.984795,0.848427,0.079286,0.057082,17.179131,11
sequential,100,500,0.9,1.0,2.0,42,0.11765181551178189,0.192133,0.16229,0.01771,0.012133,55.401373,15
sequential,100,500,0.9,1.0,2.0,99,0.026028604707847146,0.200669,0.171566,0.018471,0.010632,226.695148,29
sequential,100,500,0.9,1.0,2.0,123,0.000503304109568921,0.318605,0.27486,0.027516,0.016229,110.373648,11
sequential,100,500,0.9,1.0,2.0,456,0.13168916615133966,0.10704,0.091922,0.007471,0.007646,17.068642,14
sequential,100,500,0.9,1.0,2.0,789,0.022525303115632306,0.098792,0.088695,0.005743,0.004354,28.575017,6
sequential,100,500,0.9,1.49445,1.0,42,0.0006388984744604654,0.084533,0.07472,0.00558,0.004233,70.102826,24
sequential,100,500,0.9,1.49445,1.0,99,1.2692101842717776e-05,0.248366,0.21855,0.017888,0.011929,143.706949,14
sequential,100,500,0.9,1.49445,1.0,123,1.3759513930872448e-05,0.166198,0.149026,0.009493,0.007679,54.306351,42
sequential,100,500,0.9,1.49445,1.0,456,5.7906877795385925e-09,0.444382,0.393794,0.029452,0.021136,26.948988,11
sequential,100,500,0.9,1.49445,1.0,789,2.3372127111685943e-05,0.23416,0.212946,0.011428,0.009786,18.87146,4
sequential,100,500,0.9,1.49445,1.49445,42,0.0041369929373095,0.124686,0.109427,0.009148,0.006112,14.059357,8
sequential,100,500,0.9,1.49445,1.49445,99,0.010902653492971218,0.07964,0.067431,0.00764,0.004569,126.633791,5
sequential,100,500,0.9,1.49445,1.49445,123,0.000394585192988007,0.38757,0.336356,0.028799,0.022415,40.453581,11
sequential,100,500,0.9,1.49445,1.49445,456,0.0033087828825490322,0.257113,0.228228,0.016262,0.012622,42.291082,23
sequential,100,500,0.9,1.49445,1.49445,789,5.691362924776856e-05,0.231188,0.200878,0.014543,0.015767,17.913906,2
sequential,100,500,0.9,1.49445,2.0,42,0.015564755239685327,0.217853,0.190258,0.014398,0.013197,79.043056,20
sequential,100,500,0.9,1.49445,2.0,99,0.28181017598954505,0.10821,0.095557,0.006981,0.005672,180.337324,12
sequential,100,500,0.9,1.49445,2.0,123,0.01559179710990686,0.253661,0.225648,0.016757,0.011255,182.59412,24
sequential,100,500,0.9,1.49445,2.0,456,0.029139587027235944,0.170495,0.144916,0.015524,0.010055,40.982899,2
sequential,100,500,0.9,1.49445,2.0,789,0.012712172201853496,0.126575,0.11081,0.00985,0.005915,20.86561,8
sequential,100,500,0.9,2.0,1.0,42,0.009216585932104216,0.129309,0.111688,0.010603,0.007018,45.444097,25
sequential,100,500,0.9,2.0,1.0,99,0.0029224356490555633,0.26513,0.231927,0.019977,0.013226,148.803895,15
sequential,100,500,0.9,2.0,1.0,123,0.0045122522379732275,0.327747,0.284897,0.022907,0.019943,67.906669,8
sequential,100,500,0.9,2.0,1.0,456,0.018958514886443237,0.177788,0.155271,0.01361,0.008908,59.135887,36
sequential,100,500,0.9,2.0,1.0,789,0.07230261969177754,0.123675,0.108192,0.00921,0.006273,31.821461,19
sequential,100,500,0.9,2.0,1.49445,42,0.0021191236544774086,0.361095,0.308435,0.029466,0.023194,22.968674,6
sequential,100,500,0.9,2.0,1.49445,99,0.0036277485128222643,0.191515,0.1685,0.013534,0.009482,207.579119,12
sequential,100,500,0.9,2.0,1.49445,123,0.0014936162697641703,0.206905,0.181963,0.013576,0.011365,53.472838,2
sequential,100,500,0.9,2.0,1.49445,456,0.05505430628181795,0.136669,0.120295,0.008918,0.007456,87.83759,4
sequential,100,500,0.9,2.0,1.49445,789,0.0006608995762494245,0.3052,0.264585,0.022444,0.018171,20.566414,2
sequential,100,500,0.9,2.0,2.0,42,0.05833982358785264,0.268253,0.233502,0.01984,0.014911,60.999915,6
sequential,100,500,0.9,2.0,2.0,99,0.05013286652043251,0.212714,0.18412,0.017259,0.011336,219.525896,27
sequential,100,500,0.9,2.0,2.0,123,0.029561760315785994,0.179709,0.156874,0.013603,0.009233,108.975634,8
sequential,100,500,0.9,2.0,2.0,456,0.013324651114684595,0.175776,0.154131,0.014303,0.007342,18.602333,2
sequential,100,500,0.9,2.0,2.0,789,0.06422131563913372,0.179123,0.154786,0.012763,0.011574,25.444462,6
vectorized,100,500,0.4,1.0,1.0,42,2.413179103819254e-30,0.008336,0.001206,0.003687,0.003442,23.916109,32
vectorized,100,500,0.4,1.0,1.0,99,2.4942592066306652e-30,0.005061,0.000699,0.002562,0.0018,105.635345,31
vectorized,100,500,0.4,1.0,1.0,123,1.870556367564686e-29,0.011182,0.00189,0.00537,0.003922,16.155143,30
vectorized,100,500,0.4,1.0,1.0,456,1.7607931355949502e-30,0.014061,0.002899,0.005817,0.005346,15.927537,32
vectorized,100,500,0.4,1.0,1.0,789,2.371125408282578e-29,0.023054,0.00229,0.010045,0.010719,14.08937,31
vectorized,100,500,0.4,1.0,1.49445,42,1.5217782536035713e-25,0.009583,0.001265,0.004415,0.003903,11.572601,27
vectorized,100,500,0.4,1.0,1.49445,99,3.3912184130467025e-28,0.009879,0.001254,0.004955,0.00367,123.403859,34
vectorized,100,500,0.4,1.0,1.49445,123,7.288318991382134e-28,0.013372,0.001808,0.005988,0.005576,23.185572,35
vectorized,100,500,0.4,1.0,1.49445,456,4.062702924501792e-27,0.011724,0.001377,0.005709,0.004638,9.771218,32
vectorized,100,500,0.4,1.0,1.49445,789,4.6169153629710385e-27,0.011024,0.001772,0.004912,0.00434,23.057988,34
vectorized,100,500,0.4,1.0,2.0,42,1.6563191027036405e-25,0.01659,0.001739,0.009005,0.005846,26.738921,37
vectorized,100,500,0.4,1.0,2.0,99,1.1802422773836524e-25,0.015971,0.002743,0.006621,0.006607,103.149405,35
vectorized,100,500,0.4,1.0,2.0,123,4.054208911291853e-23,0.013207,0.001482,0.007272,0.004453,24.625352,28
vectorized,100,500,0.4,1.0,2.0,456,3.0663838719120956e-25,0.024992,0.00305,0.013488,0.008454,13.509147,38
vectorized,100,500,0.4,1.0,2.0,789,5.7423014407622756e-24,0.017974,0.002448,0.00992,0.005606,33.54866,28
vectorized,100,500,0.4,1.49445,1.0,42,2.2071934585828423e-28,0.012288,0.001528,0.005782,0.004979,23.958627,35
vectorized,100,500,0.4,1.49445,1.0,99,7.430647278233887e-29,0.015346,0.00177,0.007456,0.00612,105.405171,32
vectorized,100,500,0.4,1.49445,1.0,123,1.4562737365977056e-27,0.013216,0.001665,0.006776,0.004775,17.96187,31
vectorized,100,500,0.4,1.49445,1.0,456,8.967944533424324e-29,0.017903,0.002493,0.007758,0.007652,17.473271,34
vectorized,100,500,0.4,1.49445,1.0,789,1.3003929982700308e-28,0.017325,0.002696,0.007226,0.007402,14.40256,31
vectorized,100,500,0.4,1.49445,1.49445,42,3.482982959590763e-27,0.025105,0.002105,0.013321,0.009679,15.009478,37
vectorized,100,500,0.4,1.49445,1.49445,99,6.244484046269816e-26,0.012884,0.002002,0.006002,0.00488,122.739598,38
vectorized,100,500,0.4,1.49445,1.49445,123,3.7197696713345964e-26,0.011053,0.002118,0.004829,0.004106,20.238167,34
vectorized,100,500,0.4,1.49445,1.49445,456,1.413052158025595e-26,0.014977,0.002013,0.006537,0.006427,11.837351,38
vectorized,100,500,0.4,1.49445,1.49445,789,9.030883039364773e-28,0.013818,0.001924,0.006506,0.005388,22.128017,38
vectorized,100,500,0.4,1.49445,2.0,42,6.777385540854901e-24,0.018756,0.002423,0.008611,0.007722,26.858471,40
vectorized,100,500,0.4,1.49445,2.0,99,6.689182828891313e-24,0.025221,0.002546,0.010557,0.012117,102.902032,40
vectorized,100,500,0.4,1.49445,2.0,123,8.805068686786002e-23,0.021908,0.002419,0.00888,0.010608,26.767467,37
vectorized,100,500,0.4,1.49445,2.0,456,1.8020574288010719e-22,0.018174,0.002846,0.008338,0.006989,17.625686,36
vectorized,100,500,0.4,1.49445,2.0,789,9.805050567226419e-24,0.015837,0.002181,0.008875,0.004781,35.806898,37
vectorized,100,500,0.4,2.0,1.0,42,1.4452961641536388e-26,0.019526,0.002369,0.008692,0.008465,23.798925,33
vectorized,100,500,0.4,2.0,1.0,99,4.310677310609964e-28,0.024178,0.004392,0.010039,0.009747,105.555825,35
vectorized,100,500,0.4,2.0,1.0,123,7.46968152544934e-27,0.021053,0.00204,0.010811,0.008202,17.56746,33
vectorized,100,500,0.4,2.0,1.0,456,6.001776521907055e-26,0.011968,0.002595,0.005706,0.003667,17.868156,35
